,n_1,n_2,n_3
0,4368,548,469
1,21535,2104,993
2,38539,6564,1912
3,27331,6245,1528
4,33360,6028,3335
5,36402,7209,2492
6,35130,7656,984
7,24631,1369,341
8,31823,3894,1351
9,33292,6390,2301
10,18939,4035,2529
11,38525,5536,1249
12,37687,7594,2745
13,36341,6692,2347
14,30194,5429,1717
15,25620,842,116
16,38735,7562,2332
17,30917,2512,816
18,38359,3475,183
19,36862,5703,3016
20,38673,7521,2307
21,38924,2656,182
22,33120,7512,2433
23,33552,5635,2160
24,26033,6846,1839
25,21820,6967,162
26,26275,6998,1091
27,27179,4358,2990
28,16307,4016,2065
29,32835,7171,474
30,37916,7054,2684
31,16665,2018,838
32,37550,7321,2014
33,38438,4205,283
34,33236,7185,686
35,37522,5982,2755
36,38445,7250,927
37,38855,7307,2979
38,11527,1722,1331
39,37028,6814,2270
40,27171,2998,1277
41,37148,6501,2219
42,38543,6986,2760
43,16803,2988,916
44,38709,6769,1109
45,38432,3893,245
46,24184,3633,1323
47,31219,3588,1433
48,33895,5081,1771
49,34283,5718,240
50,21223,1701,746
51,34033,7075,2628
52,34542,3641,842
53,38608,7414,3398
54,24725,5487,1438
55,35641,6946,1983
56,18067,2065,926
57,8964,677,239
58,4676,1144,723
59,37351,5300,1856
60,15359,824,282
61,11443,4417,676
62,34396,5457,1920
63,20299,815,216
64,37470,7133,1133
65,28840,616,63
66,31134,5882,2886
67,20993,2501,1088
68,38427,7237,1015
69,38612,7286,2317
70,32527,5643,3039
71,15765,2952,747
72,38688,7420,1810
73,36862,6853,429
74,18747,2034,894
75,13135,298,71
76,38709,7270,2198
77,38952,2958,186
78,31405,5711,1863
79,37093,6164,3184
80,9249,1666,528
81,25838,2901,1260
82,36032,5865,1861
83,17205,4031,2176
84,21905,2200,919
85,21733,2891,1241
86,37433,6997,3440
87,33976,6624,2256
88,39010,6974,1582
89,35489,7327,2319
90,35811,7421,782
91,38282,6945,2093
92,37030,7082,2531
93,26723,4249,1404
94,38804,2045,98
95,38601,2705,238
96,3896,973,222
97,36280,5581,2740
98,17133,2816,886
99,38876,7316,3041
100,36980,7509,2532
101,23439,5759,2480
102,37992,7623,2064
