,smiles,mass,fp_score,rank
0,[O-1][N+1](=O)c(c4)c(c1)c(c3c4)c(c2cc3)c(ccc2)c1,247.063328528,0.7862068965517242,2
1,[O-1][N+1](=O)c(c1)cc([N+1]([O-1])=O)c(O)c1,184.012021228,0.8630952380952381,1
2,Oc(c1)cc(Cl)c(Cl)c1,161.963920108,0.9193548387096774,1
3,Oc(c1)c(Cl)ccc(Cl)1,161.963920108,0.875968992248062,1
4,Clc(c1)c(O)c(Cl)cc1,161.963920108,0.8925619834710744,5
5,Oc(c1)c(Cl)c(Cl)cc1,161.963920108,0.8292682926829268,5
6,Oc(c1)c(Cl)cc(Cl)c1,161.963920108,0.8852459016393442,1
7,Oc(c1)cc(Cl)cc(Cl)1,161.963920108,0.872,6
8,Oc(c1)c(Cl)cc(Cl)c(Cl)1,195.924947756,0.8898305084745762,1
9,Clc(c1)cc(Cl)c(O)c(Cl)1,195.924947756,0.8813559322033898,2
10,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.8679245283018868,3
11,Cc(c1)c(O)c(C)cc1,122.07316494,0.7878787878787878,1
12,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.8238993710691824,2
13,Oc(c1)cc(C)c(C)c1,122.07316494,0.7985074626865671,2
14,Cc(c1)cc(O)c(C)c1,122.07316494,0.7647058823529411,2
15,Cc(c1)c(C)c(O)cc1,122.07316494,0.6774193548387096,17
16,Cc(c1)cc(O)cc(C)1,122.07316494,0.7007299270072993,15
17,Cc(c1)cc(C)c(O)c1,122.07316494,0.6601307189542484,24
18,Cc(c1)c(O)ccc1,108.057514876,0.6887417218543046,1
19,Cc(c1)cc(O)cc1,108.057514876,0.7518248175182481,3
20,Cc(c1)ccc(O)c1,108.057514876,0.7819548872180451,1
21,Oc(c1)c(Cl)ccc1,128.00289246,0.8429752066115702,3
22,Oc(c1)cc(Cl)cc1,128.00289246,0.816793893129771,2
23,Oc(c1)ccc(Cl)c1,128.00289246,0.8852459016393442,1
24,Oc(c1)cc(O)cc1,110.036779432,0.6068965517241379,3
25,Oc(c1)c(O)ccc1,110.036779432,0.6712328767123288,1
26,CC(=C(N)1)N(C)N(c(c2)cccc2)C(=O)1,203.105862036,0.3644859813084112,1
27,C(C1=4)C(O)CCC(C)1C(C(CC4)3[H])(CCC(C)(C32[H])C(CC2)C(C)CCC(C(C)C)CC)[H],414.38616622,0.7055555555555556,6
28,Clc(c1)c(Cl)ccc1,145.969005488,0.6893203883495146,4
29,Clc(c1)cc(Cl)cc1,145.969005488,0.75,1
30,Clc(c1)ccc(Cl)c1,145.969005488,0.8072289156626506,4
31,O=C(C1)CCCC1,98.07316494,0.5408163265306123,2
32,OC(C1)CCCC1,100.088815004,0.4479166666666667,21
33,CC(C1)C(=O)CCC1,112.088815004,0.4186046511627907,49
34,CC(C1)C(O)CCC1,114.104465068,0.7410714285714286,7
35,COC(=O)c(c1)cccc1,136.052429496,0.6290322580645161,11
36,CCOC(=O)c(c1)cccc1,150.06807956,0.7004405286343612,1
37,CCCOC(=O)c(c1)cccc1,164.083729624,0.7916666666666666,2
38,CC(C)OC(=O)c(c1)cccc1,164.083729624,0.9047619047619048,1
39,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8786407766990292,1
