,smiles,mass,score,rank
0,[O-1][N+1](=O)c(c4)c(c1)c(c3c4)c(c2cc3)c(ccc2)c1,247.063328528,0.8204635220628206,5
1,[O-1][N+1](=O)c(c1)cc([N+1]([O-1])=O)c(O)c1,184.012021228,0.8702506092591352,2
2,Oc(c1)cc(Cl)c(Cl)c1,161.963920108,0.8591056399150105,10
3,Oc(c1)c(Cl)ccc(Cl)1,161.963920108,0.8823027208115986,6
4,Clc(c1)c(O)c(Cl)cc1,161.963920108,0.8638003373219638,9
5,Oc(c1)c(Cl)c(Cl)cc1,161.963920108,0.8503553858570548,6
6,Oc(c1)c(Cl)cc(Cl)c1,161.963920108,0.9097719547540735,4
7,Oc(c1)cc(Cl)cc(Cl)1,161.963920108,0.8249064896155587,14
8,Oc(c1)c(Cl)cc(Cl)c(Cl)1,195.924947756,0.8742289749123956,6
9,Clc(c1)cc(Cl)c(O)c(Cl)1,195.924947756,0.9172369573711077,4
10,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.8695008846053515,3
11,Cc(c1)c(O)c(C)cc1,122.07316494,0.8881288135258774,16
12,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.8205916432449973,3
13,Oc(c1)cc(C)c(C)c1,122.07316494,0.8545331103126994,16
14,Cc(c1)cc(O)c(C)c1,122.07316494,0.8437838115614412,27
15,Cc(c1)c(C)c(O)cc1,122.07316494,0.8342627579284161,14
16,Cc(c1)cc(O)cc(C)1,122.07316494,0.8555352612481609,21
17,Cc(c1)cc(C)c(O)c1,122.07316494,0.8696505942419647,16
18,Cc(c1)c(O)ccc1,108.057514876,0.8718706403239607,4
19,Cc(c1)cc(O)cc1,108.057514876,0.8280775733214836,18
20,Cc(c1)ccc(O)c1,108.057514876,0.8556683564230478,9
21,Oc(c1)c(Cl)ccc1,128.00289246,0.8863703830523728,3
22,Oc(c1)cc(Cl)cc1,128.00289246,0.872953844136599,6
23,Oc(c1)ccc(Cl)c1,128.00289246,0.8884155989195702,3
24,Oc(c1)cc(O)cc1,110.036779432,0.8193322337682573,19
25,Oc(c1)c(O)ccc1,110.036779432,0.825866781532758,11
26,CC(=C(N)1)N(C)N(c(c2)cccc2)C(=O)1,203.105862036,0.5746255520559059,42
27,C(C1=4)C(O)CCC(C)1C(C(CC4)3[H])(CCC(C)(C32[H])C(CC2)C(C)CCC(C(C)C)CC)[H],414.38616622,0.6737089422078142,4
28,Clc(c1)c(Cl)ccc1,145.969005488,0.8003679016431678,3
29,Clc(c1)cc(Cl)cc1,145.969005488,0.9059341241590153,3
30,Clc(c1)ccc(Cl)c1,145.969005488,0.8789044640964994,3
31,O=C(C1)CCCC1,98.07316494,0.777199379934572,25
32,OC(C1)CCCC1,100.088815004,0.7625130424502425,12
33,CC(C1)C(=O)CCC1,112.088815004,0.8074541746494531,6
34,CC(C1)C(O)CCC1,114.104465068,0.8474436283482167,9
35,COC(=O)c(c1)cccc1,136.052429496,0.8340070061380959,4
36,CCOC(=O)c(c1)cccc1,150.06807956,0.8140352396508225,4
37,CCCOC(=O)c(c1)cccc1,164.083729624,0.7591897970055596,7
38,CC(C)OC(=O)c(c1)cccc1,164.083729624,0.8431283806542268,3
39,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8945917428587806,4
40,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8690333439910951,4
41,CC(C)(C)OC(=O)c(c1)cccc1,178.099379688,0.8747421482761393,4
42,OC(=O)c(c1)c(C)ccc1,136.052429496,0.8858336126597722,1
43,Cc(c1)cc(cc1)C(O)=O,136.052429496,0.7823961544743437,7
44,Cc(c1)ccc(c1)C(O)=O,136.052429496,0.7868458791877387,6
45,COC(=O)c(c1)c(C)ccc1,150.06807956,0.9356995078725834,1
46,COC(=O)c(c1)ccc(C)c1,150.06807956,0.8051244687363719,14
47,CCOC(=O)c(c1)c(C)ccc1,164.083729624,0.910803104935525,1
48,CCOC(=O)c(c1)ccc(C)c1,164.083729624,0.857858425486953,3
49,CC(C)OC(=O)c(c1)c(C)ccc1,178.099379688,0.9121267552861885,1
50,CC(C)OC(=O)c(c1)ccc(C)c1,178.099379688,0.8185301269395372,3
51,CCCCOC(=O)c(c1)c(C)ccc1,192.115029752,0.8985993926183456,3
52,CCCCOC(=O)c(c1)cc(C)cc1,192.115029752,0.8905398238808254,6
53,CCCCOC(=O)c(c1)ccc(C)c1,192.115029752,0.8720503452222349,6
54,CC(C)COC(=O)c(c1)c(C)ccc1,192.115029752,0.87403236860048,4
55,CC(C)COC(=O)c(c1)ccc(C)c1,192.115029752,0.8478710038221999,6
56,CCCCCOC(=O)c(c1)c(C)ccc1,206.130679816,0.9030515532992195,6
57,CCCCCOC(=O)c(c1)ccc(C)c1,206.130679816,0.8686061404860336,11
58,CC(C)CCOC(=O)c(c1)c(C)ccc1,206.130679816,0.8793228270667559,9
59,CC(C)CCOC(=O)c(c1)ccc(C)c1,206.130679816,0.8599978392062027,13
60,[2H]C([2H])([2H])C(C)OC(=O)c(c1)c(C)ccc1,181.118209926,0.4211589148216267,233
61,[2H]C(C)(C)OC(=O)c(c1)c(C)ccc1,179.105656434,0.8244734513407593,3
62,[2H]C([2H])([2H])C(C([2H])([2H])[2H])OC(=O)c(c1)c(C)ccc1,184.13704016399998,0.5370702832930376,23
63,[2H]C([2H])([2H])C([2H])(C([2H])([2H])[2H])OC(=O)c(c1)c(C)ccc1,185.14331690999998,0.4793857457759254,37
64,COC(=O)c(c1)c(O)ccc1,152.047344116,0.8746604984681206,3
65,COC(=O)c(c1)cc(O)cc1,152.047344116,0.8415126330607854,9
66,COC(=O)c(c1)ccc(O)c1,152.047344116,0.8533593872979469,9
67,CCOC(=O)c(c1)c(O)ccc1,166.06299418,0.8679986068667008,2
68,CCOC(=O)c(c1)ccc(O)c1,166.06299418,0.8324428739856238,6
69,CCCOC(=O)c(c1)c(O)ccc1,180.078644244,0.8706531563980686,3
70,CCCOC(=O)c(c1)ccc(O)c1,180.078644244,0.8083971516250071,10
71,CC(C)OC(=O)c(c1)c(O)ccc1,180.078644244,0.862132946005341,3
72,CC(C)OC(=O)c(c1)ccc(O)c1,180.078644244,0.8376134889299147,8
73,CCCCOC(=O)c(c1)c(O)ccc1,194.094294308,0.9031799992647243,4
74,CCCCOC(=O)c(c1)ccc(O)c1,194.094294308,0.7607686452823682,4
75,CC(C)COC(=O)c(c1)c(O)ccc1,194.094294308,0.8823031359687565,4
76,CC(C)COC(=O)c(c1)ccc(O)c1,194.094294308,0.7962476131602364,3
77,CC(C)CCOC(=O)c(c1)c(O)ccc1,208.109944372,0.894231857163578,3
78,COC(=O)c(c1)c(N)ccc1,151.063328528,0.8780790265786043,1
79,COC(=O)c(c1)ccc(N)c1,151.063328528,0.8613576951806948,6
80,CCOC(=O)c(c1)c(N)ccc1,165.078978592,0.8706560844563233,1
81,CCOC(=O)c(c1)ccc(N)c1,165.078978592,0.8604722631323409,3
82,Cc(c1)c(I)ccc1,217.959248224,0.8623315894901441,4
83,Cc(c1)cc(I)cc1,217.959248224,0.8406503570440373,4
84,Cc(c1)ccc(I)c1,217.959248224,0.8559077732299127,4
85,COC(=O)CNC(C)=O,131.058243148,0.7192657901672452,2
86,COC(=O)C([H])(C)NC(C)=O,145.073893212,0.6686421140143493,4
87,CCC([H])(C)C([H])(NC(C)=O)C(=O)OC,187.120843404,0.8072510074011838,5
88,COC(=O)C([H])(NC(C)=O)C(C)C,173.10519334,0.8446280796360744,1
89,COC(=O)C([H])(CC(C)C)NC(C)=O,187.120843404,0.8215867601878443,6
90,COC(=O)C([H])(CO)NC(C)=O,161.068807832,0.587251271073011,13
91,COC(=O)C([H])(CCSC)NC(C)=O,205.07726434,0.8753114153113102,2
92,COC(=O)C([H])(NC(C)=O)Cc(c1)cccc1,221.10519334,0.89691429857819,2
93,CCOC(=O)CCC([H])(NC(C)=O)C(=O)OCC,245.126322708,0.7453499999482864,1
94,CCOC(=O)CC([H])(NC(C)=O)C(=O)OCC,231.110672644,0.6959752761890798,5
95,COC(=O)CCC([H])(NC(C)=O)C(=O)OC,217.09502258,0.8039794635053471,2
96,COC(=O)CC([H])(NC(C)=O)C(=O)OC,203.079372516,0.7267286015398285,9
97,O=C(C1)NCC(=O)N1,114.042927432,0.7315435214792345,25
98,CC(N1)C(=O)NC(C)C(=O)1,142.07422756,0.5371045071242164,74
99,CC(C)C(N1)C(=O)NCC(=O)1,156.089877624,0.7628665993374311,12
100,CC(C)CC(N1)C(=O)NCC(=O)1,170.105527688,0.8439359032250157,2
101,CC(N1)C(=O)NCC(=O)1,128.058577496,0.7927674425480637,12
102,CC(C)C(N1)C(=O)NC(C)C(=O)1,170.105527688,0.8708669144856164,1
103,COC(=O)CNC(=O)C([H])(C)NC(=O)C([H])(NC(C)=O)C(C)C,301.163770836,0.7480907802306794,1
104,COC(=O)C([H])(C)NC(=O)CNC(=O)C([H])(NC(C)=O)C(C)C,301.163770836,0.775196395392512,1
105,COC(=O)CNC(=O)C([H])(CC(C)C)NC(=O)C([H])(NC(C)=O)C(C)C,343.210721028,0.684134130865587,1
106,COC(=O)C([H])(C)NC(=O)C([H])(CC(C)C)NC(=O)C([H])(NC(C)=O)C(C)C,357.226371092,0.7175861213515102,1
107,COC(=O)C([H])(C)NC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(NC(C)=O)C(C)C,391.210721028,0.5130477488655076,1
108,COC(=O)CNC(=O)C([H])(NC(=O)CNC(C)=O)Cc(c1)cccc1,335.148120772,0.857844365220679,1
109,COC(=O)CNC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(C)NC(C)=O,349.163770836,0.8072193744042025,1
110,CC(=O)NCC(=O)NC([H])(Cc(c1)cccc1)C(=O)NC([H])(C)C(=O)OC,349.16377083599997,0.8381041276322213,1
111,COC(=O)C([H])(C)NC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(C)NC(C)=O,363.1794209,0.7112504212749693,1
112,CCOC(=O)CNC(=O)C([H])(CCSC)NC(=O)CNC(C)=O,333.135841836,0.7026017593657219,1
113,COC(=O)C([H])(C)NC(=O)C([H])(CC(C)C)NC(=O)C([H])(C)NC(C)=O,329.195070964,0.7012532939144666,1
114,COC(=O)CNC(=O)C([H])(CC(C)C)NC(=O)C([H])(C)NC(C)=O,315.1794209,0.6434607517570049,3
115,CC(=O)NCC(=O)NC([H])(CC(C)C)C(=O)NC([H])(C)C(=O)OC,315.17942089999997,0.5470483947527661,8
116,COC(=O)CNC(=O)C([H])(C(C)C)NC(=O)CNC(C)=O,287.148120772,0.5363937948051225,3
117,COC(=O)CNC(=O)C([H])(C(C)C)NC(=O)C([H])(C)NC(C)=O,301.163770836,0.5042577323996121,4
118,COC(=O)C([H])(C)NC(=O)C([H])(C(C)C)NC(=O)CNC(C)=O,301.163770836,0.46757641999360755,9
119,OCC=C(C)CCC=C(C)C,154.135765196,0.8641763951966199,12
120,OCC=C(C)CCC=C(C)C,154.135765196,0.878725504203897,11
121,O=CC=C(C)CCC=C(C)C,152.120115132,0.7393764259672135,9
122,O=CC=C(C)CCC=C(C)C,152.120115132,0.8330518080818349,6
123,N#CC=C(C)CCC=C(C)C,149.12044948,0.7223625091713022,8
124,N#CC=C(C)CCC=C(C)C,149.12044948,0.7449419897962793,6
125,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.9022795876760199,2
126,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.8997784498230529,4
127,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.9386364034974954,1
128,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.738128273887046,6
129,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.8535170804604019,19
130,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.86499784288874,26
131,O=C(C1)C([H])(C2)C([H])(CCC2)CC1,152.120115132,0.8766729083554111,12
132,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.8978728817173707,20
133,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.896156780199309,16
134,CC(O1)C1C(=O)C(O)(C(C)3)C(O)C(C(O)4)(O2)C(C(=O)c(c5)c(c(O)cc5)4)(C(O)3)2,392.11073221999993,0.26118847599466327,105
135,[H]C(O)(C(OC)7[H])C([H])(C)OC(C7([H])O)(OC([H])(C([H])(O)1)C(Oc(c25)cccc(c(O)c(c64)C(Oc(c36)ccc(c3C(=O)Oc45)C)=O)2)(OC([H])(C)C1([H])O)[H])[H],640.179205704,0.7095434936895654,1
136,O=C(C(C)=O)NCC(N52)(c(c1=O)c(CC2(C(c34)(N(C)C(C5([H])C#N)([H])Cc3c(c(c(OC)c4=O)C)=O)[H])[H])c(c(c(OC)1)C)=O)[H],562.2063639200001,0.38128305294156606,4
137,CN(C(=O)1)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC1(C(C)C)[H])=O)(C(C)C)[H])=O)(C(C)C)[H],681.456430596,0.9138136169717632,1
138,c(c7)c(C12O)c(cc7O)OC(C(=O)c(c(O)3)c(cc(O)c3C(C4C(=O)c(c6)c(O)cc(c6)O)C=C(C)CC4c(c5O)ccc(O)c5)O2)1CC=C(C)C,708.220676592,0.26786558824970713,3
139,c(c1)c(cc(o2)c1cc2c(c6)cc(c(c6O)C(C3C(=O)c(c5O)ccc(c5CC=C(C)C)O)C=C(CC(c(c(O)4)ccc(O)c4)3)C)O)O,648.235932732,0.1831989866373638,34
140,CC(C)=CCc(c(O)3)c(O)cc(c3)c(o1)c([H])c(c2)c(cc(O)c2)1,310.12050905599995,0.8818205247625572,1
141,CC(C)=CCc(c(O)3)c(O1)c(c(O)c3)C(=O)C(CC=C(C)C)=C(c(c2)c(O)cc(O)c2)1,422.17293855199995,0.533888512115541,8
142,c(c6)(cc(c(c6)C(C(C1(c(c5)c(O)cc(O)c5)[H])([H])C(c(c32)c(cc(c2C(C(=C(c(c4)c(O)cc(O)c4)O3)CC=C(C)C)=O)O)O)C=C(C)C1)=O)O)O,692.2257619720001,0.2352116118545912,15
143,O=Cc(c1)c(C)ccc1,120.057514876,0.7976677957905883,18
144,O=Cc(c1)cc(C)cc1,120.057514876,0.8408200218122689,13
145,O=Cc(c1)ccc(C)c1,120.057514876,0.844607368218639,14
146,Cc(c1)c(Br)ccc1,169.973112324,0.879451398976994,3
147,Cc(c1)cc(Br)cc1,169.973112324,0.9052253750015128,3
148,Cc(c1)ccc(Br)c1,169.973112324,0.877227428543401,4
149,CC(C)OC(=O)c(c1)ccc(N)c1,179.094628656,0.8469993017997343,6
150,CCCCOC(=O)c(c1)c(N)ccc1,193.11027872,0.8851015391465105,3
151,CC(C)COC(=O)c(c1)ccc(N)c1,193.11027872,0.8599296562296715,2
152,CC(C)COC(=O)c(c1)c(N)ccc1,193.11027872,0.8755810513931654,3
153,CCCCCOC(=O)c(c1)c(N)ccc1,207.125928784,0.8591806628221121,1
154,Cc(c1)c(Cl)ccc1,126.023627904,0.8657729100398892,5
155,Cc(c1)cc(Cl)cc1,126.023627904,0.8311476870503383,5
156,Cc(c1)ccc(Cl)c1,126.023627904,0.8948310863506755,4
157,CC(C)COC(=O)c(c1)c(F)ccc1,196.089957876,0.8638633403449402,9
158,CC(C)COC(=O)c(c1)c(Cl)ccc1,212.060407336,0.8935802211304654,7
159,CC(C)COC(=O)c(c1)c(Br)ccc1,256.009891756,0.8840008347185375,8
160,CC(C)COC(=O)c(c1)c(I)ccc1,303.996027656,0.9301449540626127,2
161,CC(C)COC(=O)c(c1)ccc(F)c1,196.089957876,0.8529934261623272,9
162,CC(C)COC(=O)c(c1)ccc(Cl)c1,212.060407336,0.901745958350688,7
163,CC(C)COC(=O)c(c1)ccc(Br)c1,256.009891756,0.8645751915690604,9
164,CC(C)COC(=O)c(c1)ccc(I)c1,303.996027656,0.9277960966213639,2
165,CCOC(=O)c(c1)cc(O)cc1,166.06299418,0.9010111856069274,2
166,CC(=O)c(c1)c(C)ccc1,134.07316494,0.8466863045238541,15
167,CC(=O)c(c1)cc(C)cc1,134.07316494,0.8259793913652618,21
168,Cc(c1)ccc(c1)C(C)=O,134.07316494,0.8165858310540967,21
169,[O-1][N+1](=O)c(c1)c(C)ccc1,137.047678464,0.839886831006732,1
170,Cc(c1)cc(cc1)[N+1]([O-1])=O,137.047678464,0.8244405259665301,2
171,Cc(c1)ccc(c1)[N+1]([O-1])=O,137.047678464,0.8944548755451394,2
172,ClCc(c1)cccc1,126.023627904,0.8677145656798451,4
173,COCc(c1)cccc1,122.07316494,0.820326538740449,8
174,COc(c1)c(C)ccc1,122.07316494,0.8871769571579325,13
175,COc(c1)cc(C)cc1,122.07316494,0.8987208927117085,5
