,smiles,mass,fp_score,rank_1,rank_2,rank_3
0,CCCCCCOC(=O)CCC(=O)OCCOc1c(F)c(F)c(F)c(F)c1F,412.13091487200006,0.9891304347826086,1,1,1
1,CC(C)CC(C)OC(=O)CCC(=O)Cl,220.086622084,0.9818840579710145,1,1,1
2,CCCCCCCCCCCCCCCCCCCCCCOCCC,368.40181628399995,0.9818840579710145,3,1,1
3,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(C)=O,478.474981224,0.8786231884057971,17,5,1
4,O=C(CCCl)N1CCOCC1,177.055656304,0.947463768115942,1,1,1
5,CN(CCC=C1c2ccccc2C=Cc2ccccc21)C(=O)C(F)(F)C(F)(F)C(F)(F)F,457.127661736,0.875,177,3,1
6,CCC(CCC(C)C1CCC2C3CCC4CC(OC(=O)C(F)(F)C(F)(F)F)CCC4(C)C3CCC12C)C(C)C,562.380921972,0.9239130434782609,10,1,1
7,C=C[Si](C)(Cl)OC(C)CC(C)(C)C,220.10501950199998,0.927536231884058,96,13,13
8,CCCCCCCCOC(=O)c1cccc(C(=O)OCCOC)c1,336.193673996,0.9945652173913043,3,2,2
9,CC(=O)Oc1ccc(Cl)c2cccnc12,221.024356176,0.9384057971014492,4,4,4
10,CCCCCCCO[Si](C)(C)Oc1cc(C)ccc1Cl,314.14688431400003,0.9583333333333334,1,1,1
11,CC(C)CCCOC(=O)C1CCCN1C(=O)C1CC1,267.18344366,0.9619565217391305,12,5,5
12,Cc1cc(C)c2ccc3cccc4ccc1c2c43,230.109550448,0.9836956521739131,19,1,1
13,CC(C)C(C)OC(=O)CCC(=O)OCc1cccc([N+](=O)[O-])c1,323.136887392,0.9619565217391305,4,1,1
14,CC1CCC(OC(=O)CCC(=O)OCC(Cl)Cl)CC1,310.07386448,0.9855072463768116,1,1,1
15,CCCN(CCC)C(=O)c1cccs1,211.103085164,0.9619565217391305,6,3,3
16,CC[C@H]1CC[C@@H](C)CC1,126.14085057599999,0.9873188405797102,7,1,1
17,CCOC(=O)c1ccc(C(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,329.0899372,0.9547101449275363,1,1,1
18,CCCCCCCCCCCCCCOC(=O)CCCC(=O)OCC(F)(F)C(F)F,442.27062257599994,1.0,1,1,1
19,CCCCCCCCCOC(=O)CCCC(=O)OC(C)CCCCC,356.29265976,0.9963768115942029,19,5,5
20,CCCCOC(=O)c1cccc(C(=O)OC2CCC(C)C(C)C2)c1,332.198759376,0.9909420289855072,1,1,1
21,CCCCCCCCCCCCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)n1,475.366159048,0.9945652173913043,1,1,1
22,CC(C)COC(=O)CCCCC(=O)OC(C)C(C)(C)C,286.21440944,0.9728260869565217,64,19,18
23,CC(C)C(=O)Oc1cnc2ccccc2c1,215.094628656,0.9528985507246377,3,3,3
24,CC(C)(C)c1csc(CCl)n1,189.037898064,0.8605072463768116,917,155,71
25,CCCCCCCCC(C)OC(=O)CCCC(=O)OCCC(C)C,342.277009696,0.9728260869565217,31,8,8
26,CC(c1ccccc1)N1C(=O)CCCC1=O,217.11027872,0.9130434782608695,3,3,3
27,CC(C)c1ccc(OC(=O)c2cccc(Cl)c2)cc1,274.0760574,0.9384057971014492,147,8,7
28,CCCCCCCC/C=C/COC(=O)c1cccc(C(=O)OCCCCCCCC)c1,430.30830982399993,0.9619565217391305,187,50,33
29,CC(OC(=O)CCC(=O)Oc1ccccc1Cl)C(F)(F)F,324.037621204,0.9855072463768116,3,2,2
30,CCCSSCCC(C)C,178.084992576,0.967391304347826,48,12,12
31,C=C(C)C(=O)Oc1cc(Cl)c(Cl)cc1Cl,263.951162504,0.947463768115942,1,1,1
32,CCCCCCCCOC(=O)CCCC(=O)OCC(F)(F)F,326.17049394000003,0.9981884057971014,1,1,1
33,Oc1ccc(C(O)(C(F)(F)F)C(F)(F)F)c(O)c1,276.022113372,0.9166666666666666,99999,2,99999
34,CCCCCCOC(=O)c1ccccc1C(=O)O[Si](C)(C)C(C)(C)C,364.206986034,0.9583333333333334,5,2,2
35,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[Si](C)(C)C(C)(C)C,442.32670724199994,0.9402173913043478,10,2,2
36,CCCCCCCCCCCCN(C(=O)c1cccc2ccccc12)C(C)CC,395.318814932,0.9710144927536232,11,2,1
37,CCCCC/C=C\CCOC(=O)CCCC(=O)OCCCCCCCCCCC,410.339609952,0.9981884057971014,1,1,1
38,CCCCCC(C)N(C(=O)Cc1ccccc1)C(C)CC,289.240564612,0.9891304347826086,3,2,2
39,CCCCCCCCCCCO[Si](C)(C)OCCCC(C)C,330.29540711399994,0.9909420289855072,4,1,1
40,CCCCOC(=O)CCCC(=O)OCCc1ccc(F)cc1,310.15803743600003,0.9764492753623188,4,2,2
41,CCCOC(=O)c1ccc(OC(=O)C(F)(F)F)cc1,276.06094349200004,0.9365942028985508,48,7,4
42,C/C=C/CO[Si](OC/C=C/C)(c1ccccc1)c1ccccc1,324.154556538,0.9329710144927537,52,9,9
43,O=C(Oc1ccc2oc(-c3ccccc3)cc(=O)c2c1)C(F)(F)C(F)(F)F,384.04209986800004,0.9565217391304348,4,3,3
44,NCCc1ccccc1,121.08914935199999,0.9836956521739131,1,1,1
45,CCC(OC(=O)CCCC(=O)Oc1ccc(C#N)cc1)C(C)C,317.162708216,0.9855072463768116,1,1,1
46,CCCCCCCCCCCO[Si](CC)(CC)Oc1ccc(C(C)=O)cc1,392.2746716699999,0.8931159420289855,65,10,7
47,CCCOC(=O)c1ccccc1C(=O)OC,222.089208928,0.9746376811594203,2,1,1
48,COc1cc2occ(-c3ccccc3)c(=O)c2cc1OC,282.089208928,0.9637681159420289,10,7,6
49,CCO[Si](OC)(OC)OCC,180.081785522,0.8097826086956522,270,1104,17
50,CC(=O)OCc1ccc(OC(F)(F)F)cc1,234.050378808,0.9384057971014492,1,1,1
51,C=CCCOC(=O)NC(C(=O)OCCCCC)C1CCCCC1,325.225308472,0.980072463768116,3,1,1
52,C=C(C)C1CCC(C)(O)CC1,154.135765196,0.9510869565217391,27,17,17
53,COC(=O)Nc1ccc(C(=O)O)cc1,195.053157768,0.8623188405797102,43,14,13
54,CCCCCCO[Si](C)(C)Oc1ccc(CC)cc1,280.185856666,0.9782608695652174,5,3,3
55,CCCCCOC(=O)CCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,430.139034944,0.9945652173913043,1,1,1
56,CCCCCCCCCOC(=O)c1cccc(C(=O)OCC(CC)CCCC)n1,405.28790872800005,0.9855072463768116,37,9,9
57,CCCCCCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccccc1Cl,466.28498753599996,0.9891304347826086,13,4,4
58,O=[N+]([O-])c1ccc2ccc3ccccc3c2c1,223.063328528,0.9873188405797102,2,4,2
59,CCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccccc1F,394.25193782,0.9945652173913043,1,1,1
60,CCCCCC(C)N(CCC)C(=O)CC(C)CC(C)(C)C,297.303164868,0.9601449275362319,103,27,12
61,CCCCCCCCCCCCN(Cc1ccccc1)C(=O)C1CC1c1ccccc1,419.318814932,1.0,1,1,1
62,CC(C)CCCOC(=O)C1CCN(C(=O)c2ccc(F)cc2C(F)(F)F)CC1,403.17705654,0.9746376811594203,15,5,5
63,CCCCOC(=O)CCC(=O)OCc1ccc(I)cc1,390.032807088,0.9981884057971014,1,1,1
64,COc1c(F)c(F)cc(C(=O)Oc2cc(C)cc(C)c2)c1F,310.081678936,0.9619565217391305,5,3,3
65,CCCCCCCCCCCCCCCCCCCCN(C)C,325.370850504,0.947463768115942,1,1,1
66,CCC(=O)OC/C=C(/C)CCC=C(C)C,210.161979944,0.9583333333333334,5,1,1
67,COc1ccccc1COCC(C)C,194.130679816,0.967391304347826,5,1,1
68,CCCCCCCCCCCCCCCCO[Si](CC)(CC)OC(CCC)CCCC,456.43625768999993,1.0,1,1,1
69,CCCCOCCOCCOC(=O)C(F)(F)C(F)(F)F,308.10470012400003,0.980072463768116,1,1,1
70,COc1ccc(OC(=O)c2ccccc2OC)cc1,258.089208928,0.9565217391304348,3,1,1
71,C=CCCOC(=O)c1ccc(C(=O)OCCC)cc1,262.120509056,0.9891304347826086,1,1,1
72,CCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccc(Cl)cc1,410.22238728,0.9909420289855072,5,2,2
